scalar,RGB_r,RGB_g,RGB_b
0.2015655577,0.2212827846,0.2250425978,0.2352191943
0.2035225049,0.2228861934,0.2265699988,0.2366598606
0.2054794521,0.2244914802,0.2280990427,0.2381017821
0.2074363992,0.2260986388,0.2296297242,0.2395449555
0.2093933464,0.2277076630,0.2311620380,0.2409893776
0.2113502935,0.2293185469,0.2326959787,0.2424350450
0.2133072407,0.2309312844,0.2342315413,0.2438819544
0.2152641879,0.2325458696,0.2357687204,0.2453301025
0.2172211350,0.2341622966,0.2373075110,0.2467794861
0.2191780822,0.2357805594,0.2388479080,0.2482301020
0.2211350294,0.2374006523,0.2403899064,0.2496819469
0.2230919765,0.2390225695,0.2419335009,0.2511350176
0.2250489237,0.2406463053,0.2434786868,0.2525893108
0.2270058708,0.2422718540,0.2450254590,0.2540448235
0.2289628180,0.2438992099,0.2465738126,0.2555015524
0.2309197652,0.2455283674,0.2481237427,0.2569594944
0.2328767123,0.2471593210,0.2496752445,0.2584186462
0.2348336595,0.2487920652,0.2512283131,0.2598790049
0.2367906067,0.2504265945,0.2527829438,0.2613405673
0.2387475538,0.2520629034,0.2543391318,0.2628033302
0.2407045010,0.2537009866,0.2558968724,0.2642672907
0.2426614481,0.2553408387,0.2574561609,0.2657324455
0.2446183953,0.2569824543,0.2590169927,0.2671987917
0.2465753425,0.2586258283,0.2605793631,0.2686663263
0.2485322896,0.2602709553,0.2621432675,0.2701350461
0.2504892368,0.2619178302,0.2637087015,0.2716049482
0.2524461840,0.2635664478,0.2652756604,0.2730760296
0.2544031311,0.2652168030,0.2668441398,0.2745482873
0.2563600783,0.2668688906,0.2684141352,0.2760217183
0.2583170254,0.2685227056,0.2699856422,0.2774963196
0.2602739726,0.2701782431,0.2715586564,0.2789720884
0.2622309198,0.2718354979,0.2731331733,0.2804490217
0.2641878669,0.2734944652,0.2747091887,0.2819271166
0.2661448141,0.2751551401,0.2762866982,0.2834063702
0.2681017613,0.2768175176,0.2778656976,0.2848867795
0.2700587084,0.2784815929,0.2794461826,0.2863683418
