x,y,z
0.152,0.06,0.064
0.164,0.06,0.052000000000000005
0.18,0.064,0.056
0.132,0.052000000000000005,0.044
0.116,0.052000000000000005,0.052000000000000005
0.17200000000000001,0.06,0.052000000000000005
0.164,0.06,0.056
0.14400000000000002,0.056,0.052000000000000005
0.17200000000000001,0.064,0.08
0.192,0.064,0.056
0.168,0.06,0.064
0.132,0.056,0.064
0.16,0.06,0.084
0.132,0.056,0.056
0.16,0.06,0.052000000000000005
0.176,0.06,0.052000000000000005
0.136,0.056,0.064
0.092,0.048,0.04
0.18,0.064,0.068
0.128,0.052000000000000005,0.052000000000000005
0.128,0.052000000000000005,0.048
0.14,0.056,0.068
0.18,0.064,0.076
0.088,0.048,0.036000000000000004
0.14400000000000002,0.056,0.064
0.16,0.06,0.06
0.16,0.06,0.076
0.152,0.056,0.056
0.188,0.064,0.056
0.152,0.056,0.052000000000000005
0.16,0.06,0.064
0.148,0.056,0.06
0.12,0.052000000000000005,0.044
0.17200000000000001,0.06,0.068
0.184,0.064,0.056
0.112,0.052000000000000005,0.048
0.124,0.052000000000000005,0.052000000000000005
0.096,0.048,0.036000000000000004
0.14400000000000002,0.056,0.07200000000000001
0.14400000000000002,0.056,0.056
0.12,0.052000000000000005,0.048
0.16,0.06,0.068
0.14,0.056,0.064
0.112,0.052000000000000005,0.044
0.136,0.056,0.048
0.148,0.06,0.068
0.148,0.056,0.052000000000000005
0.156,0.06,0.07200000000000001
0.18,0.064,0.064
0.108,0.052000000000000005,0.052000000000000005
0.116,0.052000000000000005,0.056
0.10400000000000001,0.048,0.044
0.1,0.048,0.04
0.152,0.06,0.068
0.124,0.052000000000000005,0.06
0.17200000000000001,0.06,0.06
0.156,0.06,0.076
0.16,0.06,0.08
0.14400000000000002,0.056,0.06
0.176,0.064,0.076
0.176,0.064,0.096
0.156,0.06,0.048
0.164,0.06,0.064
0.12,0.052000000000000005,0.056
0.164,0.06,0.068
0.168,0.064,0.08
0.14400000000000002,0.056,0.068
0.152,0.06,0.076
0.18,0.064,0.06
0.176,0.06,0.056
0.148,0.06,0.07200000000000001
0.124,0.052000000000000005,0.044
0.156,0.06,0.056
0.132,0.056,0.052000000000000005
0.152,0.06,0.056
0.18,0.064,0.08
0.176,0.064,0.07200000000000001
0.148,0.056,0.064
0.176,0.064,0.092
0.1,0.048,0.044
0.10400000000000001,0.048,0.04
0.176,0.064,0.06
0.152,0.06,0.07200000000000001
0.184,0.064,0.06
0.16,0.06,0.056
0.176,0.064,0.08
0.128,0.052000000000000005,0.06
0.128,0.056,0.06
0.108,0.048,0.04
0.17200000000000001,0.064,0.076
0.148,0.06,0.076
0.184,0.064,0.07200000000000001
0.148,0.056,0.056
0.14,0.056,0.06
0.164,0.06,0.08
0.156,0.06,0.052000000000000005
0.168,0.06,0.06
0.14,0.056,0.056
0.10400000000000001,0.048,0.048
0.108,0.052000000000000005,0.048
0.16,0.06,0.07200000000000001
0.124,0.052000000000000005,0.048
0.164,0.064,0.084
0.176,0.06,0.06
0.164,0.06,0.076
0.17200000000000001,0.064,0.088
0.168,0.06,0.07200000000000001
0.136,0.056,0.06
0.132,0.056,0.048
0.17200000000000001,0.064,0.07200000000000001
0.084,0.044,0.036000000000000004
0.152,0.06,0.08
0.17200000000000001,0.06,0.056
0.176,0.064,0.064
0.116,0.052000000000000005,0.048
0.156,0.056,0.048
0.168,0.06,0.056
0.116,0.052000000000000005,0.044
0.168,0.064,0.088
0.156,0.06,0.064
0.168,0.064,0.084
0.17200000000000001,0.064,0.068
0.176,0.064,0.056
0.156,0.06,0.08
0.176,0.06,0.064
0.14,0.056,0.048
0.112,0.052000000000000005,0.052000000000000005
0.184,0.064,0.076
0.176,0.064,0.068
0.168,0.06,0.08
0.17200000000000001,0.064,0.092
0.152,0.06,0.06
0.168,0.06,0.052000000000000005
0.12,0.052000000000000005,0.052000000000000005
0.136,0.056,0.068
0.14,0.056,0.052000000000000005
0.132,0.056,0.044
0.128,0.052000000000000005,0.044
0.17200000000000001,0.064,0.084
0.14,0.056,0.07200000000000001
0.096,0.048,0.04
0.18,0.064,0.07200000000000001
0.188,0.064,0.06
0.108,0.048,0.044
0.132,0.056,0.06
0.112,0.052000000000000005,0.04
0.164,0.06,0.07200000000000001
0.132,0.052000000000000005,0.048
0.164,0.06,0.084
0.124,0.052000000000000005,0.056
0.156,0.06,0.084
0.156,0.06,0.06
0.184,0.064,0.068
0.176,0.064,0.084
0.14400000000000002,0.06,0.076
0.164,0.06,0.092
0.136,0.056,0.052000000000000005
0.14400000000000002,0.056,0.048
0.152,0.056,0.06
0.136,0.056,0.056
0.184,0.064,0.064
0.17200000000000001,0.06,0.064
0.088,0.044,0.036000000000000004
0.164,0.06,0.06
0.112,0.048,0.04
